Utilize the persona prompting; omit the numbers. 


"Code Writer","Write a function that takes in [input] and returns [output]."

"Code Writer","Write a script that [does something] when [a certain condition] is met."

"Code Writer","Write a program that [what the program should do]."

"Code Writer","Develop a [programming language] script that [description of functionality]."

"Code Writer","Craft a function that [description of function] in [programming language]."

"Code Writer","Generate a program that reads [input source] and outputs [desired output] in [programming language]."

"Code Writer","Come up with a solution that solves [problem description] in [programming language] and explain how it works."

"Python Developer","Act as a Python developer and write a function that takes a [data type] as an input and returns the [output]."

"Web Developer","As a web developer, generate a [number] by [number] grid of HTML divs with a [color] background."

"Python Programmer","Act as a Python programmer and create a program that [does something specific] using [a specific library]."

"Web Developer","Act as a web developer and write HTML and CSS code for a [specific type of web page], with [specific features]."

"Data Scientist","Act as a data scientist and write Python code to [clean, analyze, visualize, or model] a dataset on [a specific topic]."

"Mobile App Developer","Act as a mobile app developer and write Java code to create [a specific feature] for an Android app."

"Game Developer","Act as a game developer and write C# code to create [a specific game mechanic] for a 2D platformer game."

"Python Programmer","Rewrite this Python code: [Python code here]"

"Code Rewriter","Rewrite this [programming language] code using [specific feature or method]: [paste your code here]"

"Code Generator","Create a code snippet for a specific programming task or function."

"Code Generator","Generate a sample code for a specific library or framework usage."

"Code Generator","Provide a code snippet for handling a specific error or exception in a programming language."

"Code Generator","Craft a code snippet for a specific algorithm or data structure."

"Code Generator","Come up with a code snippet for a specific UI component or feature."

"Code Generator","Generate a code snippet for a specific algorithm or data structure in a specific programming language, technology, or framework."

"Code Generator","Provide a code snippet for a specific functionality in a programming language, technology, or framework."

"Code Generator","Give me a code snippet that demonstrates how to use a specific library or tool in a programming language."

"Code Generator","Act as a code generator and provide a code snippet for a specific task in a programming language, technology, or framework."

"Code Reviewer","Review my code and suggest any improvements or optimizations: [paste your code here]"

"Code Reviewer","Point out any potential bugs or errors in my code: [paste your code here]"

"Code Reviewer","Explain how to write more readable and maintainable code."

"Code Reviewer","Review my code for security vulnerabilities and suggest any fixes: [paste your code here]"

"Code Reviewer","Can you provide feedback on my [programming language/technology/framework] code and suggest some improvements?"

"Code Reviewer","Please review my [programming language/technology/framework] code for potential bugs and optimization opportunities."

"Code Reviewer","I want you to act as a code reviewer and review my [programming language/technology/framework] code for [specific task]."

"Debugging Specialist","Debug this code: [paste your code here]"

"Debugging Specialist","Give me code with errors in [programming language] for practicing debugging."

"Debugging Specialist","What could be causing [specific error message] in this code: [paste your code here]"

"Debugging Specialist","How can I troubleshoot [specific issue] in my code: [paste your code here]"

"Debugging Specialist","What are some debugging tools or techniques for [programming language]?"

"Debugging Specialist","Help me diagnose and fix [specific problem] in my code: [paste your code here]"

"Debugging Specialist","Explain how to use breakpoints and debugging statements in [programming language]."

"Debugging Specialist","What are some common techniques for troubleshooting [specific issue] in [programming language/technology/framework]?"

"Debugging Specialist","I want you to act as a debugger and help me fix [specific error/bug] in my code."

"Predicting Errors","Predict any potential errors or bugs in my code related to [specific functionality or module]: [paste your code here]"

"Predicting Errors","What could be causing [specific issue] in my code and how to fix it: [paste your code here]"

"Predicting Errors","Explain how to prevent [specific type of error or bug] in my code: [paste your code here]"

"Predicting Errors","Help me anticipate any issues or errors that might arise during [specific phase of software development]."

"Predicting Errors","What are some common errors or bugs in [specific programming language or framework] and how to avoid them?"

"Predicting Errors","I want you to act as a fortune teller and predict potential errors in my [programming language/technology/framework] code for [specific task]."

"CSS Developer","Provide a CSS file structure for [specific project]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Developer","Suggest a CSS preprocessor for [specific project]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Developer","Recommend a CSS framework for [specific project]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Developer","Explain the difference between grid and flexbox layouts and recommend which one to use for [specific project]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Developer","Suggest ways to improve CSS performance for [specific project]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Expert","I want you to act as a CSS expert and recommend a CSS framework for [project name]. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"CSS Consultant","I want you to act as a CSS consultant and provide a list of best practices for cross-browser compatibility. Acknowledgment: Confirm understanding of instructions by replying with 'okay'. Upcoming: Be prepared to receive and review text shortly."

"Database Management Expert","Explain the difference between SQL and NoSQL databases and recommend which one to use for a specific use case."

"Database Management Expert","Provide a database schema for a specific project."

"Database Management Expert","Recommend ways to optimize database performance for a specific use case."

"Database Management Expert","Explain the concept of database normalization and recommend a normalization level for a specific project."

